"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"전라남도 구례군 토지면(4673033000)","1,224","1,224","23","68","90","49","114","278","331","153","106","12","0","1,258","1,258","18","60","62","41","93","218","307","207","214","38","0"
"전라남도 구례군 마산면(4673034000)","1,253","1,253","39","100","95","69","156","266","253","180","84","10","1","1,318","1,318","45","69","90","57","130","179","276","216","217","38","1"
"전라남도 구례군 광의면(4673035000)","1,066","1,066","30","51","57","64","103","205","251","178","117","10","0","1,173","1,173","41","49","38","47","70","142","234","252","253","46","1"
"전라남도 구례군 용방면(4673036000)","671","671","17","24","50","44","75","125","141","115","73","7","0","737","737","18","16","43","34","64","97","140","152","144","29","0"
"전라남도 구례군 산동면(4673037000)","1,442","1,442","44","71","113","71","140","324","324","223","123","9","0","1,501","1,501","44","86","61","64","103","228","310","281","287","36","1"
"전라남도 고흥군 (4677000000)","30,442","30,442","1,154","1,925","2,197","1,745","3,410","5,650","6,598","4,939","2,528","290","6","32,000","32,000","1,157","1,652","1,547","1,537","2,498","4,269","6,484","6,312","5,388","1,119","37"
"전라남도 고흥군 고흥읍(4677025000)","6,173","6,173","477","741","715","524","913","1,086","884","580","227","25","1","6,408","6,408","487","660","536","597","909","952","1,006","679","460","114","8"
"전라남도 고흥군 도양읍(4677025300)","4,645","4,645","213","370","386","318","568","906","946","658","260","20","0","4,839","4,839","227","321","298","306","527","736","978","865","468","109","4"
"전라남도 고흥군 도양읍소록출장소(4677025400)","294","294","14","14","5","13","16","16","44","84","77","11","0","293","293","13","10","8","13","20","13","37","85","75","19","0"
"전라남도 고흥군 도양읍시산출장소(4677025500)","114","114","1","5","5","10","28","26","18","13","8","0","0","106","106","1","5","2","4","5","16","15","25","30","3","0"
"전라남도 고흥군 풍양면(4677031000)","1,524","1,524","31","46","69","78","165","282","376","289","167","21","0","1,542","1,542","25","35","39","44","60","163","341","401","355","77","2"
"전라남도 고흥군 도덕면(4677032000)","1,404","1,404","27","56","80","71","134","279","345","251","142","18","1","1,484","1,484","37","53","70","35","84","188","291","317","333","76","0"
"전라남도 고흥군 금산면(4677033000)","2,070","2,070","57","90","117","81","192","385","482","394","251","19","2","2,159","2,159","50","77","73","64","119","272","467","538","429","70","0"
"전라남도 고흥군 도화면(4677034000)","1,832","1,832","33","77","101","88","179","348","427","380","182","17","0","1,944","1,944","50","76","65","56","105","271","429","415","391","79","7"
"전라남도 고흥군 포두면(4677035000)","2,331","2,331","45","117","129","102","243","472","529","401","263","30","0","2,477","2,477","63","93","76","79","151","333","529","588","464","98","3"
"전라남도 고흥군 봉래면(4677036000)","884","884","26","35","39","29","103","165","215","176","83","12","1","924","924","22","40","32","26","42","101","210","211","200","40","0"
"전라남도 고흥군 점암면(4677037000)","1,254","1,254","11","49","72","42","126","231","332","256","117","18","0","1,390","1,390","22","43","32","38","64","168","319","301","313","89","1"
"전라남도 고흥군 과역면(4677038000)","1,561","1,561","39","66","107","74","153","302","388","259","155","18","0","1,691","1,691","31","39","88","56","77","243","365","354","367","66","5"
